FName,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY,Class
hb21_4.png,660.197606309346,53.8633975481611,51.6059544658494,33.8291222199253,25.5468173593931,0.65552630620746,-12.6597905137615,711.360030265894,660.197606309346,28.9929249937387,0.928078017066233,0.697191697191697,107.1052991748,112.777098821164,95.21438783856,37.64114,11.4049971128925,16.9118141892732,59,51,2
hb21_5.png,655.283701183576,53.6793118659021,47.4565505072783,35.1047118576428,24.4677009163161,0.717078968918947,-31.3380368517086,708.46949783897,655.283701183576,28.884825105362,0.924928600571195,0.689896530736458,114.9440425524,121.064346042217,95.59288408944,40.55202,11.070617976335,19.5617901504364,59,49,2
hb21_6.png,657.018020639731,58.4720633523977,51.4386273647162,35.5168402992007,24.2944902486287,0.729456359669322,-30.7281590734311,713.672456207433,657.018020639731,28.9230241413675,0.920615633859862,0.680742737346511,117.00695464704,123.529833221164,96.34880131776,40.19887,10.8063639417453,19.431339248595,53,51,2
hb21_7.png,654.416541455499,60.9213780918728,54.351148409894,34.1425684670183,25.1206381725796,0.677245484472083,-15.918521329446,705.289912169354,654.416541455499,28.865706631052,0.927868852459016,0.680288461538462,106.82465280696,112.700681490626,95.17460272128,39.1236,11.031382825914,15.575636894669,55,54,2
hb22_1.png,667.712990619348,35.6402597402597,39.7164502164502,31.2707523488684,28.1405994680657,0.436093046349413,72.5601311635377,751.538431000132,667.712990619348,29.1574790438051,0.888461538461538,0.67741935483871,128.63818744752,136.563567044325,97.71762440688,38.80866,11.4049971128925,10.2533053188368,33,41,2
hb22_2.png,668.291097104733,51.4364186851211,41.4675605536332,34.1716207497909,25.7623908312254,0.656975553331836,-30.9167061186616,751.538431000132,668.291097104733,29.1700985981911,0.889230769230769,0.703590992087645,128.78496227208,136.563567044325,98.6778435888,41.6273,11.8402200510338,16.2055179031343,47,40,2
hb22_3.png,667.134884133963,51.8838821490468,43.8665511265165,33.9589555064742,25.8615072977613,0.648103922374348,-51.746657123939,751.538431000132,667.134884133963,29.144854025225,0.887692307692308,0.686904761904762,130.38174333048,138.160650656971,98.9359092144,42.61032,10.6717845352753,14.9075482473669,49,43,2
hb22_4.png,665.978671163194,51.5759548611111,43.90625,33.7859151932279,25.979983880632,0.639298085225247,-52.0435734199163,750.09316478667,665.978671163194,29.119587567051,0.887861271676301,0.698181818181818,134.86402066512,142.407709204347,98.77139237808,42.16493,10.4390172703381,10.7909430642975,48,42,2
hb22_5.png,667.134884133963,59.8067590987868,53.3695840554593,31.1088977218622,28.276696802873,0.416886624127998,-26.5398438940833,751.827484242824,667.134884133963,29.144854025225,0.887351018838908,0.651977401129944,132.29841823728,139.811769482239,97.12729928832,36.43541,11.4049971128925,14.8153039589017,57,54,2
hb22_6.png,668.291097104733,64.4113321799308,50.8728373702422,35.1685967109572,25.0657714101489,0.70143682356678,-44.9367917889663,750.960324514747,668.291097104733,29.1700985981911,0.88991531947652,0.602083333333333,137.10058942032,145.134101469616,99.71978355216,42.79481,10.5902152923102,15.4451849673669,64,47,2
