Area,MjrAxisLength,MnrAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerim,FibLen,InscribeR,BlebLen,Class
436.2826,25.5669,23.762,0.36906,555.1514,23.5689,0.78588,0.57426,117.8842,84.9391,36.0093,8.5314,13.8282,0
387.6154,31.1091,21.8352,0.71228,645.1643,22.2155,0.6008,0.43605,145.2662,93.1509,46.7814,6.9762,20.5967,0
390.6302,34.3489,19.9029,0.81502,644.7336,22.3017,0.60588,0.35597,153.5982,96.5064,46.1911,6.2259,18.6939,0
388.9074,31.0405,22.084,0.70273,652.9166,22.2525,0.59565,0.4515,151.0965,93.7317,46.9406,6.9762,20.2783,0
387.6154,28.7745,23.6196,0.57114,642.1495,22.2155,0.60362,0.40431,149.5923,94.6656,44.9252,6.9762,19.3968,0
387.6154,31.8772,21.2984,0.74404,649.4711,22.2155,0.59682,0.42614,147.7358,93.7153,46.0125,6.6926,21.253,0
388.4767,29.1187,23.4404,0.59328,647.7484,22.2401,0.59973,0.4211,148.3704,94.1497,44.5408,7.0682,18.7405,0
392.3529,33.1332,20.7364,0.77994,643.0108,22.3508,0.61018,0.37184,152.7562,94.9051,46.5095,6.4967,25.3032,0
264.4398,23.3967,16.3149,0.71677,316.9832,18.3493,0.83424,0.60196,78.1881,65.1133,29.1748,6.4635,12.0186,0
264.0091,20.9823,18.3088,0.48847,323.0128,18.3343,0.81733,0.59922,88.9075,65.0096,27.0468,6.0505,14.7563,0
267.0239,26.6802,14.4518,0.84059,331.6265,18.4387,0.80519,0.50987,87.7682,69.4499,34.5842,5.8698,13.603,0
264.4398,23.9788,15.9324,0.74734,321.2901,18.3493,0.82306,0.5831,85.2173,66.4705,29.0156,5.9427,9.3469,0
264.8705,23.4584,16.4375,0.71345,318.2753,18.3642,0.83221,0.58349,80.1096,65.8024,29.9437,6.4635,12.5157,0
264.8705,26.4455,14.5751,0.83442,325.5969,18.3642,0.81349,0.50245,89.9713,69.2707,33.6094,5.8698,11.5876,0
263.5785,23.3323,16.2774,0.71645,319.998,18.3193,0.82369,0.59649,83.578,65.9166,29.2874,6.5954,9.2343,0
353.1607,30.6394,18.5203,0.79663,541.8002,21.2051,0.65183,0.43617,141.5859,87.2839,41.8031,6.5954,18.1969,0
356.1755,32.4611,17.3686,0.84481,541.3695,21.2955,0.65792,0.42172,137.9508,88.3484,42.4594,6.0505,18.4221,0
353.5914,28.1447,20.1662,0.69757,528.449,21.2181,0.66911,0.4546,149.2878,85.1189,39.6751,6.7567,17.6998,0
354.022,30.9931,18.3859,0.80504,543.0922,21.231,0.65186,0.44771,151.2428,87.2734,40.7624,6.6926,20.8686,0
355.3141,32.3689,17.4998,0.84126,546.9684,21.2697,0.64961,0.41667,157.6139,90.3618,45.1311,6.1912,24.5343,0
354.022,28.0698,20.2083,0.69404,553.4286,21.231,0.63969,0.44553,148.8593,85.7922,38.0441,6.7567,17.1562,0
352.73,27.0845,21.0124,0.63097,543.9536,21.1922,0.64846,0.46534,149.9067,84.7881,37.0034,6.9762,12.4031,0
384.1699,25.1426,21.9091,0.49059,484.0885,22.1165,0.79359,0.56065,114.3509,77.7215,38.9062,6.4967,18.0843,0
385.0313,24.8781,22.2378,0.44832,487.534,22.1413,0.78975,0.57529,122.4702,78.3725,37.1626,6.4635,35.7375,0
383.3085,27.1573,20.3268,0.66315,493.5636,22.0917,0.77661,0.57125,127.1002,78.6114,41.372,6.1912,17.5406,0
380.7244,26.1888,20.9214,0.60151,490.5488,22.0171,0.77612,0.58273,123.7735,78.7741,41.3061,6.5954,19.3968,0
383.7392,25.1737,21.9185,0.49183,484.0885,22.1041,0.7927,0.54529,120.8801,78.7091,37.8189,6.1912,36.0093,0
383.7392,25.0824,22.0407,0.47732,494.8556,22.1041,0.77546,0.58734,129.6412,79.1377,38.6344,6.4967,36.9374,0
385.462,25.1543,21.947,0.48862,492.7022,22.1537,0.78234,0.60637,124.4692,78.3502,37.9315,6.5626,22.95,0
529.741,29.9675,23.0871,0.63755,584.8685,25.9709,0.90574,0.62755,102.758,86.7477,36.553,10.5207,8.6907,0
529.741,32.6729,21.2203,0.76038,598.2197,25.9709,0.88553,0.58571,108.8258,89.4017,39.178,10.0389,21.9752,0
528.8796,30.6756,22.576,0.67703,598.6504,25.9498,0.88345,0.66414,110.3024,88.4074,37.1433,10.2722,9.5062,0
529.3103,30.1295,22.9293,0.64872,590.0367,25.9603,0.89708,0.61175,103.9793,86.9485,36.0093,10.3765,23.5596,0
529.3103,29.5853,23.3929,0.61221,593.0515,25.9603,0.89252,0.70673,106.6496,86.5023,37.3218,10.8631,12.1312,0
530.1717,30.2601,22.9281,0.6526,594.3436,25.9814,0.89203,0.66112,109.6724,86.6112,39.5158,10.2722,14.3719,0
529.3103,29.6031,23.3575,0.61437,596.9277,25.9603,0.88672,0.62449,108.6309,87.0024,36.553,10.3765,24.4877,0
335.5026,25.6098,18.0462,0.70954,399.2438,20.6682,0.84035,0.56205,94.5737,75.8865,36.3937,7.3373,10.5469,0
336.364,26.7346,17.4054,0.75904,402.2586,20.6947,0.83619,0.56106,105.9605,77.732,37.8655,7.9025,11.2498,0
334.2106,23.0978,19.9411,0.50463,406.1348,20.6284,0.82291,0.55114,101.2663,74.7578,34.3783,7.4826,11.972,0
338.5174,23.3766,19.9237,0.52307,410.0109,20.7609,0.82563,0.54583,99.8435,75.3274,33.1784,7.9025,7.2189,0
337.2254,24.4297,18.8983,0.6337,402.6893,20.7212,0.83743,0.53741,97.0537,75.3878,33.722,7.9025,12.3564,0
338.5174,25.0915,18.7252,0.66564,415.6098,20.7609,0.81451,0.62981,101.0642,76.0756,36.7782,7.3373,11.475,0
335.072,22.832,20.2639,0.46077,406.1348,20.6549,0.82503,0.6234,95.5233,73.8239,34.922,7.2487,8.9625,0
374.2642,28.7797,21.7474,0.65497,635.2585,21.8295,0.58915,0.37042,153.9552,94.3945,41.2594,6.5954,17.2688,0
383.3085,33.327,18.9968,0.82164,649.4711,22.0917,0.59019,0.40308,160.2954,98.3393,46.331,6.2259,30.2155,0
374.6949,34.6363,18.3157,0.84875,643.0108,21.8421,0.58272,0.39402,169.7502,98.4043,47.8687,5.8698,30.3281,0
371.2494,26.2728,23.7717,0.42583,641.7188,21.7414,0.57852,0.40814,165.9294,95.1151,43.2749,6.8516,18.3561,0
382.0165,33.5769,18.6359,0.83184,639.1347,22.0544,0.59771,0.37082,162.423,99.306,45.9466,6.5626,32.6154,0
375.9869,33.2252,18.7851,0.82483,639.1347,21.8797,0.58827,0.40492,167.0693,97.0636,45.5155,6.0505,28.2467,0
378.1403,26.9288,23.6804,0.47613,641.2881,21.9423,0.58966,0.38374,163.8891,96.2452,41.6439,6.9762,13.4438,0
308.3696,24.4306,17.1425,0.71249,360.913,19.8149,0.85442,0.64158,88.8471,67.8814,32.0251,7.2189,21.75,0
310.523,24.527,17.1169,0.71621,369.5267,19.8839,0.84033,0.66026,98.4877,68.7385,32.9532,7.9025,18.8531,0
309.2309,24.5053,17.1084,0.71595,358.7596,19.8425,0.86194,0.64107,94.5035,67.9681,31.7999,7.0682,18.6939,0
315.6912,21.2137,19.8082,0.35794,369.096,20.0487,0.85531,0.67371,86.5194,67.5717,28.5186,7.6533,9.8906,0
308.3696,23.2918,18.0476,0.63215,374.2642,19.8149,0.82394,0.62807,99.1925,68.6512,32.6154,7.4826,18.7405,0
310.0923,25.5607,16.5031,0.76364,366.0812,19.8701,0.84706,0.62772,95.0075,69.4926,34.1998,6.8516,18.3561,0
306.2161,28.6618,14.5742,0.86107,371.2494,19.7455,0.82483,0.53378,102.6556,73.379,36.9841,6.0505,23.6062,0
463.4157,28.2672,21.8848,0.63293,536.632,24.2907,0.86356,0.62704,93.9437,84.0111,35.1938,9.9311,6.8345,0
462.5543,29.9478,20.6411,0.72454,537.4933,24.2681,0.86058,0.57372,100.1795,85.3906,39.7877,9.281,10.5469,0
465.5691,30.5951,20.3263,0.74741,546.9684,24.3471,0.85118,0.60867,107.8552,85.8952,38.2499,8.8291,20.7093,0
463.8464,30.3769,20.4168,0.74045,543.5229,24.302,0.85341,0.60302,107.7896,86.6224,39.4499,9.1171,15.1874,0
465.9998,30.4372,20.4671,0.74015,539.6467,24.3584,0.86353,0.63948,104.4846,85.13,38.6344,8.8291,18.1969,0
462.1237,28.6765,21.5992,0.65779,535.3399,24.2568,0.86323,0.58827,99.0461,83.5773,37.05,9.7561,8.0344,0
462.985,31.7131,19.508,0.78842,544.3843,24.2794,0.85047,0.55128,108.1157,86.4701,38.7936,8.8291,13.3312,0
384.1699,25.7156,20.534,0.60199,469.876,22.1165,0.8176,0.63989,96.1848,77.6939,31.528,8.5314,14.1,0
383.3085,24.6821,21.4644,0.4937,474.6135,22.0917,0.80762,0.58862,106.2322,77.7976,37.2752,8.8291,12.6749,0
384.1699,27.2117,19.4121,0.70078,474.1828,22.1165,0.81017,0.6216,99.3657,78.6219,33.8813,7.9838,13.8282,0
381.5858,28.7963,18.2103,0.77466,478.059,22.042,0.7982,0.54223,107.7193,80.4725,36.8908,7.3373,20.0064,0
382.8779,25.8208,20.4181,0.61212,478.9203,22.0793,0.79946,0.59425,101.4395,78.969,35.5782,8.5566,12.1312,0
386.754,28.3215,18.8509,0.74631,480.2124,22.1908,0.80538,0.5801,107.9897,80.0604,33.9279,7.8752,12.7875,0
385.0313,26.6911,19.8214,0.66971,476.7669,22.1413,0.80759,0.54712,100.9946,78.7196,33.722,7.9297,11.5876,0
416.0405,29.8844,24.2646,0.58373,711.9202,23.0156,0.58439,0.39525,170.6663,100.1093,46.1718,6.5626,31.6873,0
417.3326,31.6305,23.0106,0.68613,723.118,23.0513,0.57713,0.4299,183.1878,101.4225,48.028,6.5954,25.3498,0
417.3326,31.3272,23.3138,0.66795,727.8555,23.0513,0.57337,0.36621,181.7441,100.9126,46.2844,6.4635,28.8563,0
415.6098,32.5369,22.2082,0.73084,715.7964,23.0037,0.58063,0.386,182.6464,100.9985,48.7968,6.1912,21.75,0
415.1791,34.884,20.8866,0.80094,720.1032,22.9918,0.57656,0.35055,190.4343,102.4823,47.8687,5.6071,28.6971,0
416.4712,29.5386,24.6742,0.54976,718.8112,23.0275,0.57939,0.41989,186.4016,99.9511,46.0592,6.4967,31.6873,0
420.3473,31.3897,23.407,0.66629,722.6873,23.1345,0.58164,0.4065,187.8283,101.5524,47.1465,6.0505,32.3435,0
281.2365,21.609,18.3381,0.52898,331.6265,18.923,0.84805,0.70215,82.8823,66.16,26.8216,7.2189,14.1467,0
281.2365,22.5184,17.6007,0.62376,334.6413,18.923,0.84041,0.65827,85.2921,67.5224,28.1341,6.9762,14.6437,0
278.2217,23.5936,16.6261,0.70952,344.547,18.8213,0.8075,0.57885,95.0029,67.5986,30.3281,6.1912,14.9155,0
282.0979,21.7177,18.2706,0.5406,338.0867,18.952,0.83439,0.57456,83.6863,67.0565,27.3186,6.9762,15.3,0
282.5285,21.547,18.6072,0.50424,344.1163,18.9665,0.82103,0.58781,90.4484,68.0219,29.5592,6.9762,14.4185,0
279.5138,21.5141,18.3662,0.5208,337.6561,18.865,0.82781,0.53681,93.1903,67.2685,30.2815,7.0682,13.4438,0
