frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.100000000000000000e+01 1.000000000000000000e+00 3.296142528735629753e+02 1.204449877149999963e+02 8.588387581803356584e-05 5.386126908374365696e-01 2.040502461878281390e-05 4.612810202621266398e-01
1.200000000000000000e+01 1.000000000000000000e+00 3.392905405405409738e+02 1.447079711985120127e+02 6.189371150141843954e-10 9.999826280373902421e-01 1.727033845675600846e-05 1.010052158725891580e-07
1.300000000000000000e+01 1.000000000000000000e+00 3.400198593297479874e+02 1.405669922532900102e+02 5.381095840839700855e-10 9.999884850592767327e-01 1.141376331304703585e-05 1.006393007648978383e-07
1.400000000000000000e+01 1.000000000000000000e+00 3.425174973488869909e+02 1.151856498682499961e+02 1.646440248315897399e-14 9.999998666665567137e-01 3.333336688121647952e-08 1.000000598947958226e-07
1.500000000000000000e+01 1.000000000000000000e+00 3.552041522491350065e+02 9.858961216262899541e+01 1.552210358556827630e-06 9.983486794874184556e-01 1.141954350917532170e-06 1.648626347871969119e-03
1.600000000000000000e+01 1.000000000000000000e+00 3.665919019712309819e+02 1.095220083560910069e+02 5.848507937590549302e-05 9.314385376112876980e-01 7.526031406139779443e-04 6.775037416872226048e-02
1.700000000000000000e+01 1.000000000000000000e+00 3.766945898778359947e+02 9.730628565104430550e+01 4.878929028224025821e-04 3.214903062260966032e-02 1.980267422791190477e-03 9.653828090517766469e-01
1.000000000000000000e+00 2.000000000000000000e+00 9.682510231923599804e+02 1.222032497267910003e+02 1.884533866318702700e-11 9.999940968693615817e-01 7.394833898319202780e-08 5.829163453999998110e-06
2.000000000000000000e+00 2.000000000000000000e+00 9.699938335046249449e+02 1.169796687467569996e+02 8.946280089304356856e-10 9.999646478863025711e-01 2.276010609220173399e-07 3.512361800831027364e-05
3.000000000000000000e+00 2.000000000000000000e+00 9.708507596067920531e+02 1.307798777213789947e+02 3.592639364205116069e-13 9.999995552566719459e-01 2.742675790815222487e-07 1.704753898116018811e-07
4.000000000000000000e+00 2.000000000000000000e+00 9.665068997240109638e+02 1.204002758411100018e+02 2.604921404528152116e-14 9.999998458566687898e-01 5.414423254818948576e-08 9.999907268993928277e-08
5.000000000000000000e+00 2.000000000000000000e+00 9.630106284658039613e+02 1.197299976779430040e+02 1.665115456387674093e-14 9.999998666531638714e-01 3.334208572459745056e-08 1.000047336051713303e-07
7.000000000000000000e+00 2.000000000000000000e+00 9.604343720491029899e+02 1.157197124680219957e+02 5.487501087201723023e-14 9.999996844311257460e-01 3.334183809173093818e-08 2.822269814004064110e-07
1.200000000000000000e+01 2.000000000000000000e+00 9.651546242774569464e+02 1.153465646413039991e+02 1.097654709590971300e-13 9.999995425052139453e-01 3.335097092453730469e-08 4.241437052790290423e-07
1.300000000000000000e+01 2.000000000000000000e+00 9.660602990834539696e+02 1.144829831377920044e+02 3.802423248821586025e-13 9.999991467036871695e-01 3.335279883169338844e-08 8.199431338241915969e-07
1.400000000000000000e+01 2.000000000000000000e+00 9.651692759295500537e+02 1.126253228620030029e+02 2.989701907583591815e-12 9.999976378195670756e-01 3.340644362467925513e-08 2.328770999617932966e-06
1.500000000000000000e+01 2.000000000000000000e+00 9.670553379040160280e+02 1.136312588665149974e+02 1.688510716604389615e-10 9.999824446873601946e-01 3.861992415212157851e-08 1.751652386457302126e-05
1.600000000000000000e+01 2.000000000000000000e+00 9.675955990220049898e+02 1.167876756900139981e+02 1.144143150499493129e-10 9.999855568583373433e-01 3.368845863495120082e-08 1.440933878962729845e-05
1.700000000000000000e+01 2.000000000000000000e+00 9.681983669548510534e+02 1.109510197416269932e+02 3.367943731767115687e-10 9.999752225126756766e-01 3.354208792180892464e-08 2.474360844207309181e-05
1.800000000000000000e+01 2.000000000000000000e+00 9.678628107074570153e+02 1.135468093236909937e+02 2.518633834927495050e-11 9.999931993950683662e-01 3.335499295315763308e-08 6.767224752249309096e-06
1.900000000000000000e+01 2.000000000000000000e+00 9.701841712294669833e+02 1.051843052494500057e+02 6.870769405552657545e-10 9.999645838534110265e-01 3.375066290104054922e-08 3.538170884901782560e-05
2.000000000000000000e+01 2.000000000000000000e+00 9.707898949474739538e+02 1.095463739988250040e+02 2.519823449455888404e-08 9.997856332037373672e-01 5.714928492714817117e-08 2.142844487431969222e-04
2.100000000000000000e+01 2.000000000000000000e+00 9.723977328733369632e+02 1.100137907928340013e+02 2.899629745223488636e-10 9.999769854407628555e-01 3.353598258641256689e-08 2.298073329133253561e-05
2.200000000000000000e+01 2.000000000000000000e+00 9.744148264984230536e+02 9.666490238758230191e+01 9.289097597756365901e-06 9.461740625816089656e-01 1.265233414957486524e-06 5.381538308737840448e-02
2.300000000000000000e+01 2.000000000000000000e+00 9.746236730360930096e+02 9.495453797304739396e+01 5.647622561545240120e-06 9.517169534431926259e-01 9.764913139809179686e-07 4.827642244293191276e-02
2.400000000000000000e+01 2.000000000000000000e+00 9.691113989637309487e+02 1.119855251143309971e+02 8.688985222773061797e-10 9.999602406642342789e-01 3.411839786970523894e-08 3.972434846932899573e-05
2.500000000000000000e+01 2.000000000000000000e+00 9.692165413533830360e+02 1.150437215879669992e+02 1.220144878687048848e-10 9.999850682986660688e-01 3.350935066863872104e-08 1.489806996879994642e-05
2.600000000000000000e+01 2.000000000000000000e+00 9.685632241813600558e+02 1.090505815503230025e+02 9.235874647060188635e-10 9.999589482812391017e-01 3.390284260405100987e-08 4.101689233072534414e-05
2.700000000000000000e+01 2.000000000000000000e+00 9.676804915514589993e+02 1.109979183960829943e+02 9.159115910716780007e-09 9.998708613748026330e-01 3.907910434693148228e-08 1.290903869772171966e-04
2.800000000000000000e+01 2.000000000000000000e+00 9.675511688311689795e+02 1.094709271629269978e+02 3.758061527249645286e-10 9.999738116898496676e-01 3.365201073047139249e-08 2.615428233347222151e-05
2.900000000000000000e+01 2.000000000000000000e+00 9.680047393364930031e+02 1.031681470473200051e+02 2.040240421131534055e-07 9.993895644833071801e-01 1.930596950111670855e-07 6.100384329555536000e-04
