Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
12,1,723,109.690179806362,848.887966804979,54.4710061357799,19.3273457751569,0.934935027293858,-49.1676358221324,914,723,30.3406030072496,0.791028446389497,0.342329545454545,150.188,158.752308678997,135.326,65.4974975585938,8.9442720413208,31.6274127960205,108,847
13,1,650,110.746153846154,846.712307692308,39.5746006149612,21.2934639704902,0.842907276841379,-54.6373754737041,696,650,28.768136958758,0.933908045977011,0.595238095238095,104.809,110.225396744416,101.335,47.1127090454102,9.21954441070557,15.3137073516846,110,846
14,1,662,113.35498489426,848.323262839879,42.2296659193215,21.6496951823642,0.858588392132733,-57.2620502699894,746,662,29.032474552037,0.887399463806971,0.538211382113821,116.139,122.468037431535,107.224,47.8700637817383,9.84885787963867,24.5563468933105,109,843
15,1,652,110.610429447853,848.073619631902,38.9259749818911,21.8789179004967,0.827093242105871,-45.9615155527188,722,652,28.8123616381463,0.903047091412742,0.599264705882353,104.726,110.811183182043,102.046,44.1837730407715,9.43398094177246,12.8994941711426,108,846
16,1,721,110.169209431345,843.934812760055,45.0052583739372,22.4761582183086,0.86636472058151,-54.5435531299877,800,721,30.298609072927,0.90125,0.47906976744186,122.268,128.610173055266,115.214,53.2842788696289,9.89949512481689,29.5563468933105,111,846
17,1,774,110.143410852713,844.37338501292,44.6081173236121,22.8675676283682,0.858608170605859,-51.6071705923154,847,774,31.3924737417269,0.913813459268005,0.524390243902439,123.484,129.438600180013,112.89,52.2842826843262,9.89949512481689,23.8994941711426,108,843
18,1,631,112.427892234548,848.02852614897,36.0116241070124,22.6683441663874,0.777022376488669,-38.7142979696828,661,631,28.3445612548137,0.954614220877458,0.616813294232649,94.711,99.9827560572968,93.884,41.6274185180664,9.84885787963867,14.4852809906006,109,845
19,1,626,109.749201277955,843.297124600639,34.9462634076194,23.3805172012803,0.743224617052538,-50.4613091416499,660,626,28.2320377409108,0.948484848484848,0.654127481713689,94.984,99.9827560572968,93.28,36.8700561523438,9.89949512481689,7.6568546295166,108,842
20,1,731,107.277701778386,837.010943912449,39.8291432395482,23.8946708627362,0.800053004314983,-56.2861646760479,772,731,30.508000708034,0.946891191709845,0.676851851851852,107.794,113.982756057297,102.046,45.2842826843262,10.7703294754028,13.4852809906006,107,838
21,1,795,107.505660377358,833.045283018868,41.917768339837,25.0285764695476,0.80217609651852,-66.4685537578206,871,795,31.8154905362852,0.912743972445465,0.685344827586207,120.877,127.982756057297,108.306,48.8700714111328,11.1803398132324,15.0710668563843,108,836
22,1,730,108.175342465753,829.327397260274,47.4192697600997,20.6354855497943,0.900347878067921,-57.7196059361298,804,730,30.4871262610412,0.907960199004975,0.539541759053954,116.412,122.468037431535,111.814,51.5269241333008,9.48683261871338,20.3137073516846,110,832
23,1,744,109.184139784946,832.786290322581,45.8750784193374,21.7683216030124,0.880248488857192,-49.9371834452096,868,744,30.7780802078843,0.857142857142857,0.467630421118793,133.076,140.710678118655,117.86,56.5979995727539,10,25.7279205322266,111,836
24,1,735,106.144217687075,831.72925170068,38.0296976158038,25.8467958031203,0.733538703392704,-57.7253532216745,821,735,30.5913560565782,0.895249695493301,0.662162162162162,115.75,122.225396744416,106.412,44.6984939575195,11.0453605651855,11.6568546295166,106,831
25,1,802,109.76433915212,829.925187032419,46.0900313624276,23.7558454032507,0.856936116362576,-54.1736142068322,953,802,31.955251757381,0.841552990556139,0.506313131313131,132.638,140.367532368147,124.152,59.5979957580566,10.6301460266113,23.5563468933105,108,828
26,1,963,111.695742471443,831.282450674974,65.499058138301,21.5947881099415,0.944087093699177,-47.8787023224826,1303,963,35.016134589357,0.739063699155794,0.330360205831904,169.548,179.580735803744,156.259,74.7401428222656,10,36.8700561523438,107,825
27,1,759,110.927536231884,833.812911725955,54.3953940390688,18.5924059678569,0.93977231411596,-50.1081013503982,855,759,31.0867948565623,0.887719298245614,0.392857142857143,134.863,143.681240867132,128.677,64.669075012207,8.48528099060059,28.7279205322266,110,834
28,1,727,112.60522696011,839.045392022008,58.0562486416825,16.5742894838454,0.958382657455997,-39.7939482749493,797,727,30.424416987388,0.912170639899624,0.352228682170543,138.065,145.237590053236,132.507,66.325927734375,7.21110248565674,33.2842674255371,108,835
29,1,695,115.953956834532,842.51654676259,57.5271016847182,18.2726100012353,0.94821312351783,-43.2969416305288,850,695,29.7472937187728,0.817647058823529,0.302173913043478,147.584,154.651803615609,138.611,70.0832901000977,7.81024980545044,39.698486328125,109,837
30,1,836,114.068181818182,837.694976076555,71.8128440669381,17.1388905141294,0.971103062233821,-47.3697666585323,1030,836,32.625576767294,0.811650485436893,0.253333333333333,173.13,182.308657865102,164.53,86.3970031738281,8.48528099060059,33.6274147033691,113,839
31,1,1138,114.124780316344,835.214411247803,100.229544436426,16.7531920885726,0.985931775224779,-46.9782353739341,1603,1138,38.065031221695,0.70991890205864,0.197500867754252,234.463,247.220346110533,222.101,117.610237121582,7.61577320098877,56.7695732116699,116,839
32,1,1053,114.349477682811,833.681861348528,93.1057515881771,15.733656304209,0.985618289812596,-46.7901351965303,1271,1053,36.615860506154,0.828481510621558,0.215293396033531,204.054,214.735064736295,198.366,100.296508789062,7.21110248565674,43.2842750549316,114,835
33,1,1073,111.989748369059,831.914259086673,95.0723080529935,15.3721545841071,0.986841749977538,-49.0652602191468,1290,1073,36.9619538377076,0.831782945736434,0.210268469527729,210.613,220.634559672906,206.495,105.781806945801,7.21110248565674,43.8700637817383,110,831
34,1,1100,111.094545454545,829.013636363636,100.241046654201,14.9860104220562,0.988761764890981,-51.854332954759,1326,1100,37.4241031850956,0.829562594268477,0.203252032520325,218.097,229.220346110533,214.153,110.438659667969,7.07106781005859,47.1837768554688,110,828
35,1,1112,114.208633093525,830.535071942446,102.286306816359,15.19210680225,0.988908604624478,-53.3542185542844,1332,1112,37.6276809509369,0.834834834834835,0.172885572139303,236.49,249.362481734264,234.167,121.923957824707,7.07106781005859,59.4974937438965,110,826
36,1,1084,114.128228782288,830.722324723247,101.348843701922,14.9445062024735,0.989068600122479,-53.4168978791573,1299,1084,37.1509308967207,0.834488067744419,0.155211912943872,244.752,258.43354954613,240.387,125.752380371094,7.21110248565674,69.9827880859375,110,826
37,1,986,106.850912778905,823.120689655172,83.230651961941,16.7553158601767,0.979527203428646,-56.0387765062828,1166,986,35.4318245523551,0.845626072041166,0.256103896103896,188.232,197.865007051206,186.032,94.4680862426758,7.81024980545044,43.041633605957,106,825
38,1,1054,106.519924098672,828.873814041746,81.7096555958578,17.9388157030998,0.975602734198199,-49.7509680694493,1219,1054,36.6332428287595,0.864643150123052,0.23563603845294,198.836,208.977705423414,190.599,97.5391540527344,8.48528099060059,55.2548484802246,99,821
39,1,1033,102.600193610842,828.722168441433,67.1706953035628,22.5834337722435,0.941787180381162,-45.0997223062772,1204,1033,36.2664645328356,0.85797342192691,0.312651331719128,182.782,193.521861300698,163.786,77.2254409790039,9.21954441070557,36.355339050293,98,824
40,1,967,101.99379524302,831.222337125129,59.3201872337094,26.5590951027936,0.894171607507206,-48.1825323657507,1295,967,35.0887822495866,0.746718146718147,0.338585434173669,175.793,185.965512114594,161.774,75.3259353637695,10.8166542053223,31.4558391571045,98,830
41,1,977,94.424769703173,826.810644831116,50.8502955229921,29.6062202168003,0.813029016201813,-62.6474887692062,1207,977,35.2697467414533,0.809444904722452,0.494433198380567,156.076,165.338095116624,144.017,66.0122222900391,12,24.1421337127686,93,828
42,1,955,92.3602094240838,823.875392670157,45.8849071200802,30.1740541050933,0.75336461994692,-79.5784251944573,1147,955,34.8703852175751,0.832606800348736,0.573229291716687,141.908,151.539105243401,130.843,58.1127090454102,12,23.1421337127686,93,825
43,1,1117,86.9498657117278,826.277529095792,49.1981551878497,40.7814566175191,0.55936350312465,32.4097189455546,1721,1117,37.7121806777224,0.649041255084253,0.386371497751643,179.67,189.681240867132,164.711,82.5269317626953,12.3693170547485,32.8994941711426,91,827
