frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.000000000000000000e+00 1.000000000000000000e+00 1.030000000000000000e+02 7.520000000000000000e+02 7.300660157899562241e-01 7.111115876343475969e-04 5.752461144714720621e-03 2.634704114776947326e-01
2.000000000000000000e+00 1.000000000000000000e+00 1.030000000000000000e+02 7.520000000000000000e+02 6.834924178845019904e-01 8.735567942353703659e-05 2.244839885949247334e-03 3.141753865501252796e-01
3.000000000000000000e+00 1.000000000000000000e+00 1.020000000000000000e+02 7.530000000000000000e+02 9.720657697242723883e-01 1.102334858546316458e-03 3.758965631641795905e-04 2.645599885401690027e-02
4.000000000000000000e+00 1.000000000000000000e+00 1.030000000000000000e+02 7.530000000000000000e+02 8.535936703708932871e-01 4.398667685035662512e-04 2.780632786100037715e-04 1.456883995819930888e-01
5.000000000000000000e+00 1.000000000000000000e+00 1.040000000000000000e+02 7.550000000000000000e+02 5.863019823534472152e-01 1.666423068149844376e-04 5.282405907652740727e-03 4.082489694320849960e-01
6.000000000000000000e+00 1.000000000000000000e+00 1.050000000000000000e+02 7.550000000000000000e+02 8.431392183386310357e-01 1.008279236015383236e-04 4.515063227670508897e-03 1.522448905100971528e-01
7.000000000000000000e+00 1.000000000000000000e+00 1.040000000000000000e+02 7.550000000000000000e+02 9.480577697027001705e-01 6.642086924862757675e-05 2.584948878867356737e-05 5.184995993926263397e-02
8.000000000000000000e+00 1.000000000000000000e+00 1.050000000000000000e+02 7.550000000000000000e+02 6.111990238772087025e-01 8.386141703792135632e-05 6.892169558829416842e-03 3.818249451469241107e-01
9.000000000000000000e+00 1.000000000000000000e+00 1.040000000000000000e+02 7.560000000000000000e+02 7.255285029527988039e-01 5.427410017470688658e-04 6.071800062572126760e-03 2.678569559828819502e-01
1.000000000000000000e+01 1.000000000000000000e+00 1.030000000000000000e+02 7.570000000000000000e+02 6.975556995473715105e-01 7.357191381279176538e-04 9.814347968399670524e-04 3.007271465176606373e-01
1.100000000000000000e+01 1.000000000000000000e+00 1.020000000000000000e+02 7.570000000000000000e+02 8.242991679605086164e-01 3.798244182885093128e-04 6.888230347442986668e-04 1.746321845864586553e-01
1.200000000000000000e+01 1.000000000000000000e+00 1.030000000000000000e+02 7.570000000000000000e+02 8.864688730252215931e-01 1.479469529566967176e-04 1.099782813152457017e-02 1.023853518902972243e-01
1.300000000000000000e+01 1.000000000000000000e+00 1.030000000000000000e+02 7.590000000000000000e+02 8.220818282049856540e-01 8.570346377686772002e-03 1.132220898944034200e-03 1.682156045183832715e-01
1.400000000000000000e+01 1.000000000000000000e+00 1.040000000000000000e+02 7.580000000000000000e+02 6.694323816008089789e-01 5.313018993396622855e-04 8.281412000130117246e-02 2.472221964985501508e-01
1.500000000000000000e+01 1.000000000000000000e+00 1.030000000000000000e+02 7.580000000000000000e+02 2.365264938057610455e-01 4.630946508114704109e-04 7.186558355920240615e-01 4.435457595140334525e-02
1.600000000000000000e+01 1.000000000000000000e+00 1.020000000000000000e+02 7.580000000000000000e+02 6.996219095040703273e-01 1.285182212407895690e-03 1.054339241506664637e-01 1.936589841328555384e-01
1.700000000000000000e+01 1.000000000000000000e+00 1.030000000000000000e+02 7.580000000000000000e+02 8.590640156201729827e-01 4.185320348084637797e-04 2.614272871895780004e-02 1.143747236260606592e-01
1.800000000000000000e+01 1.000000000000000000e+00 1.010000000000000000e+02 7.590000000000000000e+02 8.166184757375329895e-01 7.897575649085923242e-04 1.307844862859900727e-04 1.824609822112723823e-01
1.900000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+02 7.600000000000000000e+02 7.645123758838231476e-01 8.859578386193704951e-04 5.232274501560783830e-02 1.822789212619497223e-01
2.000000000000000000e+01 1.000000000000000000e+00 9.900000000000000000e+01 7.600000000000000000e+02 1.788351002446495752e-01 8.044668535828284348e-04 5.281542584405990795e-04 8.198322786433271947e-01
2.100000000000000000e+01 1.000000000000000000e+00 9.700000000000000000e+01 7.610000000000000000e+02 7.550341468813930312e-01 3.838327213736211774e-04 8.795262005835772492e-04 2.437024941966496050e-01
2.200000000000000000e+01 1.000000000000000000e+00 9.800000000000000000e+01 7.590000000000000000e+02 6.878396372509152368e-01 2.021531215766426341e-04 3.616304722773119765e-04 3.115965791552304243e-01
2.300000000000000000e+01 1.000000000000000000e+00 9.700000000000000000e+01 7.600000000000000000e+02 5.151770317799897470e-01 7.126228831564837031e-05 6.357151109778312430e-03 4.783945548219161736e-01
2.400000000000000000e+01 1.000000000000000000e+00 9.900000000000000000e+01 7.600000000000000000e+02 5.951931370095391305e-01 7.177367907502997264e-04 5.359239072838535404e-05 4.040355338089823833e-01
2.500000000000000000e+01 1.000000000000000000e+00 9.600000000000000000e+01 7.590000000000000000e+02 4.283845539284915627e-01 6.058949456132661782e-02 3.513191568312882575e-03 5.075127599418689517e-01
2.600000000000000000e+01 1.000000000000000000e+00 9.700000000000000000e+01 7.600000000000000000e+02 7.833760645632330544e-01 9.631703341785382037e-04 6.073571618398684440e-05 2.156000293864045181e-01
2.700000000000000000e+01 1.000000000000000000e+00 9.400000000000000000e+01 7.590000000000000000e+02 3.267167311495494664e-01 3.742922529680562087e-03 1.730050279701338871e-04 6.693673412927998445e-01
2.800000000000000000e+01 1.000000000000000000e+00 9.600000000000000000e+01 7.580000000000000000e+02 3.603039863126882847e-01 2.473315676999603314e-04 1.137599025517070840e-04 6.393349222170600088e-01
2.900000000000000000e+01 1.000000000000000000e+00 9.600000000000000000e+01 7.560000000000000000e+02 5.296540095605999365e-01 1.869939536041500617e-04 8.924909652971147172e-04 4.692665055204988667e-01
3.000000000000000000e+01 1.000000000000000000e+00 9.500000000000000000e+01 7.550000000000000000e+02 6.257580290116194766e-01 3.510224056858180430e-04 5.316063467406856216e-05 3.738377879480206389e-01
3.100000000000000000e+01 1.000000000000000000e+00 9.700000000000000000e+01 7.550000000000000000e+02 1.404026300330734611e-01 2.717884282892424710e-04 3.567624718378916175e-04 8.589688190667993384e-01
3.200000000000000000e+01 1.000000000000000000e+00 9.800000000000000000e+01 7.550000000000000000e+02 7.847094791057568353e-01 2.460519288006313664e-03 2.837453018395482709e-04 2.125462563043974407e-01
3.300000000000000000e+01 1.000000000000000000e+00 9.900000000000000000e+01 7.540000000000000000e+02 5.406757951220892977e-01 2.406190801199783926e-03 7.249904508415330067e-05 4.568455150316266256e-01
3.400000000000000000e+01 1.000000000000000000e+00 9.800000000000000000e+01 7.540000000000000000e+02 8.114096041625461497e-01 2.974424264762036657e-04 3.191173393649104282e-05 1.882610416770408857e-01
