frame cellnumber x-cent y-cent actinedge filopodia bleb lamellipodia 
1.200000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.470000000000000000e+02 4.213499512025600108e-02 1.022568595388507057e-01 6.554210053719815576e-01 2.001871399689115760e-01
1.300000000000000000e+01 1.000000000000000000e+00 1.100000000000000000e+02 8.460000000000000000e+02 2.300407599246268898e-03 2.110212848763536378e-04 4.766387607745014021e-01 5.208498103413762292e-01
1.400000000000000000e+01 1.000000000000000000e+00 1.090000000000000000e+02 8.430000000000000000e+02 2.921680022758590609e-02 4.006059303773570716e-03 6.118633787038418870e-01 3.549137617647987186e-01
1.500000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.460000000000000000e+02 1.157982318186924313e-02 2.929665119966129395e-04 5.095710657205472227e-01 4.785561445855866514e-01
1.600000000000000000e+01 1.000000000000000000e+00 1.110000000000000000e+02 8.460000000000000000e+02 5.255249677811899521e-03 2.134547827208376110e-03 2.144617069928946018e-01 7.781484955020848693e-01
1.700000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.430000000000000000e+02 1.149808031292661771e-02 4.935289802187897311e-04 5.402866152048034776e-01 4.477217755020511114e-01
1.800000000000000000e+01 1.000000000000000000e+00 1.090000000000000000e+02 8.450000000000000000e+02 2.195571384760524984e-03 9.344167304281408295e-06 9.614998169171121711e-01 3.629526753082308599e-02
1.900000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.420000000000000000e+02 2.407422416450568682e-03 6.649370576068625989e-06 9.633180229114455262e-01 3.426790530152800524e-02
2.000000000000000000e+01 1.000000000000000000e+00 1.070000000000000000e+02 8.380000000000000000e+02 4.141181707582329390e-03 4.509080108241610390e-05 9.265760995793561605e-01 6.923762791197887734e-02
2.100000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.360000000000000000e+02 1.538206392668052362e-02 2.318767490728230844e-04 9.158986500145637200e-01 6.848740930968275076e-02
2.200000000000000000e+01 1.000000000000000000e+00 1.100000000000000000e+02 8.320000000000000000e+02 8.756832903248436967e-03 9.778807793122241097e-04 7.282566976702198325e-01 2.620085886472197090e-01
2.300000000000000000e+01 1.000000000000000000e+00 1.110000000000000000e+02 8.360000000000000000e+02 7.647407428894345549e-02 7.608336289640598230e-03 6.221774361367092832e-01 2.937401532847065955e-01
2.400000000000000000e+01 1.000000000000000000e+00 1.060000000000000000e+02 8.310000000000000000e+02 3.038891568268320756e-02 5.341630667738752085e-04 6.992884592100058194e-01 2.697884620405370248e-01
2.500000000000000000e+01 1.000000000000000000e+00 1.080000000000000000e+02 8.280000000000000000e+02 1.068237917902257611e-01 4.769346923262380439e-03 2.157400496824899705e-01 6.726668116040218637e-01
2.600000000000000000e+01 1.000000000000000000e+00 1.070000000000000000e+02 8.250000000000000000e+02 6.795502990836405077e-02 4.142894507186709596e-01 4.524544106067364679e-01 6.530110876622841065e-02
