Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
20,1,1299,114.100076982294,128.397228637413,46.786030850949,36.6065652573975,0.622744690734197,-54.9443759192423,1493,1299,40.6686386372961,0.870060281312793,0.642751113310242,168.523,177.823376490863,140.602,60.0122108459473,16.4924221038818,12.8994941711426,114,128
21,1,1156,116.047577854671,125.632352941176,41.331004514349,35.8247556326846,0.498696287748732,-48.3060285744216,1223,1156,38.3648916812474,0.945216680294358,0.760026298487837,134.78,142.367532368147,122.622,45.9411354064941,16.1245155334473,4.24264049530029,116,125
22,1,1227,112.079054604727,122.639771801141,44.0345666890368,35.7891581672526,0.582610566022219,-47.2108854690052,1275,1227,39.5254971049074,0.962352941176471,0.695578231292517,131.638,138.852813742386,125.906,47.6274299621582,16.2788200378418,6,113,124
23,1,1215,117.351440329218,124.366255144033,41.9193881412496,37.1589243328074,0.462848004125874,-31.8041425162768,1267,1215,39.3317435013148,0.95895816890292,0.7798459563543,130.446,137.882250993908,124.02,46.6984901428223,16.6433162689209,4.41421365737915,118,125
24,1,1240,114.962903225806,124.160483870968,42.9372679157829,37.1536180288609,0.50125433256552,-46.1436621093087,1294,1240,39.734330691124,0.958268933539413,0.720092915214866,132.903,139.78174593052,127.444,49.355354309082,16.9705619812012,8.24264144897461,116,125
25,1,1214,117.149093904448,123.288303130148,40.8261445926321,38.3056222398046,0.345925309829749,-18.5855484618906,1262,1214,39.3155542668355,0.961965134706815,0.722619047619048,132.771,140.267027304759,124.914,44.4558486938477,16.6433162689209,6.41421365737915,118,123
26,1,1216,116.921875,122.558388157895,39.7608582983802,39.1649236248461,0.172485671315322,-66.5261380974159,1265,1216,39.3479260749275,0.961264822134387,0.76,128.586,134.953318805774,123.4,43.7989883422852,17.4642486572266,2,117,122
27,1,1210,115.274380165289,122.238016528926,40.0276917932829,38.6907092185833,0.256295191533193,-69.0955748009817,1251,1210,39.250730555361,0.96722621902478,0.719809637120761,127.147,134.610173055266,123.26,41.2132034301758,17.0293865203857,1.41421353816986,115,122
28,1,1242,114.838969404187,122.865539452496,42.1164396199545,37.7353342658171,0.44410174776165,-68.1464440462645,1291,1242,39.7663615957139,0.962044926413633,0.740608228980322,132.175,139.78174593052,125.848,43.4558525085449,17,5.24264097213745,114,121
29,1,1232,114.806006493506,124.879058441558,40.9780058056403,38.425975840878,0.347386714482161,-84.7524289384979,1273,1232,39.6059480269532,0.967792615868028,0.751219512195122,128.668,135.882250993909,124.616,45.9705619812012,17.0293865203857,2,115,125
30,1,1255,116.219920318725,123.26374501992,41.5443399424199,38.8911425658117,0.351638769794525,-38.3347040898,1311,1255,39.9739368669466,0.957284515636918,0.746579417013682,133.341,140.124891681028,126.41,44.1127052307129,16.4012203216553,4,117,124
31,1,1286,112.360808709176,122.940124416796,41.0999696379569,40.1619202540735,0.212429491454488,-32.8452307929359,1357,1286,40.4646272011669,0.947678703021371,0.729024943310658,139.693,147.681240867132,129.214,45.8700675964355,17.4928550720215,4.24264049530029,113,123
32,1,1268,117.167192429022,122.556782334385,40.6924140830303,40.0373484187188,0.178708743095114,-67.9371190090903,1314,1268,40.1804398025231,0.964992389649924,0.702104097452935,129.744,136.610173055266,127.122,44.0416374206543,17.2046508789062,4,117,122
33,1,1329,113.941309255079,121.005267118134,43.236550181828,39.6072377501768,0.401043163790221,-63.1935259330813,1386,1329,41.135572865259,0.958874458874459,0.771777003484321,141.33,149.195959492893,131.488,48.9411354064941,17.4642486572266,7.6568546295166,114,122
